tavg(baru);rh(baru);RR(baru);ss(baru);ff(baru);ddd(baru)
0,42080713;1,299960582;-0,42851669;-0,558479635;0,47003969;1,103017587
-0,295952267;1,299960582;-0,134017249;0,088374799;0,47003969;0,390652062
0,134103371;-0,702463172;3,278114213;-0,025775983;-0,854617617;0,248178957
-0,152600388;0,799354644;-0,445441945;-1,738037721;-0,854617617;-0,036767253
-1,586119183;1,299960582;-0,357430618;0,202525582;0,47003969;1,245490692
-0,582656026;0,549051674;0,299269286;-1,357535113;-0,854617617;0,248178957
-0,439304147;0,549051674;-0,445441945;-0,900931983;0,47003969;1,245490692
0,42080713;0,549051674;-0,42851669;-0,139926766;0,47003969;0,818071377
0,707510889;0,799354644;-0,445441945;0,12642506;-0,854617617;-0,036767253
-1,156063544;1,80056652;0,468521839;-1,129233548;-0,854617617;2,385275532
0,42080713;0,298748705;-0,411591435;-2,11854033;-0,854617617;-1,319025198
1,280918407;0,799354644;-0,445441945;-1,129233548;-0,854617617;-0,036767253
-0,009248508;0,799354644;-0,414976486;0,621078451;1,794696997;0,818071377
-0,009248508;1,049657613;2,65864987;0,659128712;0,47003969;1,245490692
-0,009248508;-0,201857233;-0,411591435;-1,053133026;-0,854617617;-1,319025198
0,994214648;-0,201857233;-0,445441945;1,191832364;-0,854617617;0,248178957
1,280918407;-0,702463172;-0,445441945;0,278626104;0,47003969;0,390652062
0,56415901;-0,452160202;-0,445441945;-0,063826244;0,47003969;-1,319025198
0,707510889;-0,702463172;-0,445441945;0,697178973;0,47003969;-1,319025198
0,134103371;-0,702463172;-0,445441945;0,12642506;-0,854617617;0,248178957
-0,726007906;-1,20306911;-0,445441945;1,077681581;-0,854617617;-0,036767253
-1,442767303;-1,953978018;-0,445441945;1,45818419;1,794696997;-1,319025198
-2,732934219;-1,453372079;-0,445441945;1,115731842;1,794696997;0,818071377
-1,299415424;0,048445736;-0,445441945;0,887430277;-0,854617617;-0,036767253
0,707510889;0,298748705;-0,445441945;0,811329756;-0,854617617;0,390652062
1,137566528;0,549051674;0,11986158;-0,025775983;-0,854617617;-1,319025198
2,141029684;-1,953978018;-0,228798678;-0,938982244;1,794696997;-1,319025198
-0,726007906;-0,452160202;-0,445441945;1,344033407;-0,854617617;0,248178957
0,56415901;-0,201857233;-0,445441945;1,039631321;-0,854617617;-0,036767253
-0,582656026;-0,201857233;-0,445441945;0,963530799;1,794696997;-1,319025198
0,134103371;-1,703675048;-0,445441945;-1,509736156;0,47003969;-1,319025198
